wpm,raw,accuracy,consistency,date
128.0,128.0,100.00%,81.04%,02 Jan 2023  16:04
121.52,131.91,95.18%,86.21%,01 Jan 2023  19:36
130.31,139.91,95.43%,85.43%,01 Jan 2023  19:35
99.2,116.0,90.48%,73.08%,01 Jan 2023  11:21
103.86,131.82,90.91%,88.99%,01 Jan 2023  11:20
115.12,128.71,92.73%,73.45%,01 Jan 2023  11:20
117.6,127.2,95.06%,82.37%,01 Jan 2023  11:20
107.13,118.32,95.33%,81.03%,31 Dec 2022  18:09
120.8,124.0,97.45%,81.58%,31 Dec 2022  18:07
105.6,120.8,90.20%,73.40%,31 Dec 2022  18:07
111.2,124.0,90.74%,72.08%,31 Dec 2022  18:07
122.4,131.2,93.41%,79.82%,31 Dec 2022  15:41
126.4,146.4,95.08%,86.89%,31 Dec 2022  14:42
125.52,133.51,95.81%,79.03%,31 Dec 2022  12:16
112.0,144.0,91.67%,81.24%,30 Dec 2022  19:16
125.52,138.31,94.80%,87.39%,30 Dec 2022  19:15
133.6,138.4,97.11%,82.70%,30 Dec 2022  19:15
125.6,136.8,93.57%,84.05%,30 Dec 2022  19:14
120.8,145.6,89.56%,91.56%,30 Dec 2022  17:43
116.0,120.0,98.00%,84.08%,29 Dec 2022  17:03
111.2,136.0,91.76%,81.87%,29 Dec 2022  17:03
114.4,133.6,91.62%,86.53%,29 Dec 2022  17:02
121.52,137.51,93.64%,78.10%,29 Dec 2022  17:02
124.8,134.4,95.83%,82.69%,29 Dec 2022  15:54
123.92,130.31,98.16%,83.93%,29 Dec 2022  11:47
96.0,129.6,87.43%,72.20%,29 Dec 2022  11:41
111.93,127.12,91.88%,71.23%,27 Dec 2022  20:25
131.91,143.1,95.53%,85.50%,27 Dec 2022  20:25
115.2,119.2,97.33%,78.71%,27 Dec 2022  17:55
127.91,131.91,97.59%,83.03%,27 Dec 2022  17:55
112.72,123.12,96.10%,86.47%,27 Dec 2022  15:36
125.6,125.6,100.00%,85.67%,27 Dec 2022  15:35
85.54,121.52,86.93%,84.31%,27 Dec 2022  15:32
107.13,130.31,90.80%,85.80%,27 Dec 2022  15:31
120.72,136.71,94.74%,85.39%,27 Dec 2022  15:30
91.94,123.92,84.91%,80.57%,27 Dec 2022  15:28
116.64,130.23,95.12%,83.82%,27 Dec 2022  15:28
109.6,129.6,91.46%,85.65%,27 Dec 2022  15:27
117.52,136.71,91.81%,86.49%,27 Dec 2022  15:26
123.2,136.8,94.77%,82.89%,27 Dec 2022  15:25
111.13,126.32,93.04%,84.16%,27 Dec 2022  15:25
114.32,122.32,97.39%,88.57%,27 Dec 2022  15:24
117.52,132.71,91.67%,79.33%,27 Dec 2022  15:23
108.73,115.92,94.59%,79.11%,27 Dec 2022  12:19
118.32,125.52,95.63%,86.89%,27 Dec 2022  09:54
122.4,128.0,96.30%,79.10%,27 Dec 2022  09:52
110.4,125.6,91.19%,79.68%,27 Dec 2022  09:52
107.13,107.13,97.81%,74.76%,27 Dec 2022  09:52
109.53,122.32,92.36%,77.97%,27 Dec 2022  09:51
114.32,139.91,91.48%,83.40%,27 Dec 2022  09:50
106.4,114.4,95.17%,72.85%,27 Dec 2022  00:02
110.33,126.32,93.13%,82.32%,26 Dec 2022  17:55
117.52,138.31,94.80%,88.21%,26 Dec 2022  14:38
105.53,110.33,97.12%,81.32%,26 Dec 2022  14:37
113.52,135.11,91.81%,80.84%,26 Dec 2022  14:36
111.2,144.0,92.22%,85.41%,26 Dec 2022  12:12
97.6,97.6,100.00%,83.90%,25 Dec 2022  19:12
108.73,119.12,91.61%,71.15%,25 Dec 2022  19:10
112.72,161.49,85.15%,83.10%,25 Dec 2022  19:09
105.6,126.4,89.87%,73.63%,25 Dec 2022  15:52
88.8,108.8,90.44%,82.69%,24 Dec 2022  00:43
110.33,126.32,93.08%,80.88%,23 Dec 2022  23:42
112.72,137.51,87.21%,90.00%,23 Dec 2022  14:41
119.92,135.11,94.12%,83.68%,23 Dec 2022  14:38
100.73,140.71,83.62%,85.10%,23 Dec 2022  14:38
115.12,133.51,95.27%,84.98%,23 Dec 2022  14:37
107.93,144.7,87.29%,80.99%,23 Dec 2022  14:37
137.51,147.1,96.20%,84.69%,23 Dec 2022  14:35
118.32,125.52,96.84%,80.74%,23 Dec 2022  14:34
111.2,128.0,91.57%,74.77%,23 Dec 2022  14:34
127.91,148.7,93.55%,88.67%,23 Dec 2022  13:11
92.74,105.53,95.45%,79.59%,22 Dec 2022  11:10
115.92,141.51,90.45%,83.18%,22 Dec 2022  11:06
115.92,130.31,95.09%,86.20%,22 Dec 2022  11:06
107.2,120.0,93.46%,75.15%,22 Dec 2022  11:04
107.2,140.0,87.43%,86.84%,22 Dec 2022  11:04
127.12,147.1,89.30%,87.62%,22 Dec 2022  11:04
123.92,139.11,95.40%,86.72%,22 Dec 2022  11:01
104.8,141.6,83.80%,79.83%,22 Dec 2022  11:01
110.4,122.4,93.63%,80.62%,22 Dec 2022  11:00
110.4,123.2,96.10%,88.49%,22 Dec 2022  10:38
114.32,125.52,91.88%,75.39%,21 Dec 2022  22:53
108.8,135.2,92.90%,76.75%,21 Dec 2022  18:53
109.53,125.52,89.81%,81.26%,21 Dec 2022  18:53
114.32,125.52,96.18%,88.50%,21 Dec 2022  17:15
112.72,121.52,94.74%,83.15%,21 Dec 2022  17:06
104.73,119.12,92.05%,86.20%,21 Dec 2022  16:25
106.4,106.4,100.00%,77.12%,21 Dec 2022  16:24
111.93,115.92,98.62%,80.86%,21 Dec 2022  16:23
129.51,145.5,91.85%,83.30%,21 Dec 2022  16:20
117.6,136.8,92.98%,88.54%,21 Dec 2022  15:49
108.8,117.6,96.60%,85.00%,21 Dec 2022  14:11
118.4,127.2,95.03%,86.19%,21 Dec 2022  14:10
102.4,111.2,93.62%,78.79%,21 Dec 2022  01:05
104.8,121.6,90.85%,82.76%,20 Dec 2022  23:36
118.4,124.8,97.45%,84.85%,20 Dec 2022  23:36
103.93,119.92,91.67%,68.44%,20 Dec 2022  16:30
100.73,133.51,89.22%,83.32%,20 Dec 2022  15:49
124.72,141.51,95.48%,86.44%,20 Dec 2022  15:48
124.8,136.8,96.49%,89.47%,20 Dec 2022  12:39
124.8,131.2,96.34%,81.27%,20 Dec 2022  12:00
116.0,125.6,97.45%,84.06%,20 Dec 2022  11:56
103.93,137.51,87.21%,83.49%,19 Dec 2022  16:28
119.2,137.6,93.60%,86.92%,19 Dec 2022  12:44
107.2,133.6,91.62%,83.64%,18 Dec 2022  18:04
114.4,138.4,89.33%,75.60%,17 Dec 2022  18:27
105.53,140.71,87.50%,85.58%,17 Dec 2022  18:26
95.2,123.2,89.03%,87.93%,15 Dec 2022  21:41
107.93,119.92,92.21%,80.37%,15 Dec 2022  17:41
142.31,148.7,98.39%,85.34%,14 Dec 2022  18:57
131.2,134.4,98.81%,82.69%,14 Dec 2022  15:46
121.6,131.2,96.34%,78.75%,13 Dec 2022  19:33
131.91,135.91,98.82%,85.35%,13 Dec 2022  19:32
113.6,124.0,94.27%,82.26%,09 Dec 2022  20:42
116.72,116.72,100.00%,77.35%,09 Dec 2022  20:38
125.52,127.91,97.53%,81.73%,09 Dec 2022  20:36
105.6,126.4,87.42%,76.69%,09 Dec 2022  18:08
113.52,124.72,92.55%,73.11%,08 Dec 2022  17:12
111.2,123.2,94.90%,82.26%,08 Dec 2022  14:31
121.6,132.8,94.01%,83.32%,08 Dec 2022  14:31
108.0,120.0,94.81%,76.82%,08 Dec 2022  14:30
130.4,130.4,98.79%,80.64%,08 Dec 2022  14:30
109.53,121.52,91.67%,74.49%,03 Dec 2022  16:42
110.4,127.2,93.75%,82.32%,03 Dec 2022  15:40
104.0,116.0,95.24%,75.80%,03 Dec 2022  15:18
100.0,122.4,88.96%,78.82%,03 Dec 2022  15:18
97.6,112.8,93.79%,66.08%,03 Dec 2022  10:24
105.53,114.32,95.14%,77.89%,03 Dec 2022  10:02
117.6,133.6,93.45%,80.12%,30 Nov 2022  18:10
122.4,142.4,91.57%,87.74%,30 Nov 2022  15:23
101.6,129.6,87.65%,70.10%,28 Nov 2022  21:26
118.4,145.6,89.01%,78.12%,28 Nov 2022  21:26
113.6,133.6,89.94%,83.64%,27 Nov 2022  19:00
119.2,126.4,98.73%,86.63%,27 Nov 2022  18:58
110.4,120.8,96.08%,81.68%,27 Nov 2022  18:56
116.0,123.2,94.30%,80.74%,26 Nov 2022  10:17
107.2,115.2,96.53%,78.22%,25 Nov 2022  21:36
114.32,121.52,95.39%,83.94%,25 Nov 2022  21:32
118.32,126.32,95.03%,82.83%,25 Nov 2022  16:08
105.53,128.71,89.22%,67.89%,25 Nov 2022  16:07
111.2,125.6,95.63%,75.16%,25 Nov 2022  12:35
90.4,115.2,85.91%,77.80%,25 Nov 2022  12:35
118.32,118.32,97.37%,76.41%,25 Nov 2022  12:35
116.72,125.52,94.34%,86.75%,25 Nov 2022  12:34
118.32,123.12,96.79%,83.61%,24 Nov 2022  19:18
109.6,123.2,90.38%,83.99%,24 Nov 2022  19:18
116.72,131.91,93.41%,77.31%,23 Nov 2022  22:00
123.92,131.11,96.34%,92.19%,23 Nov 2022  17:02
103.93,125.52,89.31%,85.47%,22 Nov 2022  17:25
108.8,122.4,92.90%,52.71%,20 Nov 2022  17:18
124.72,139.11,94.86%,83.24%,20 Nov 2022  17:17
109.53,109.53,96.50%,80.52%,20 Nov 2022  11:03
99.13,109.53,93.71%,72.42%,19 Nov 2022  19:03
112.72,127.91,92.55%,84.99%,18 Nov 2022  21:08
101.46,122.24,90.97%,82.81%,18 Nov 2022  21:08
119.12,123.12,96.79%,80.83%,18 Nov 2022  21:08
95.2,111.2,86.71%,68.68%,18 Nov 2022  14:50
107.13,123.12,93.04%,75.28%,18 Nov 2022  14:50
112.72,126.32,91.88%,72.90%,18 Nov 2022  14:50
113.52,127.12,90.30%,76.06%,18 Nov 2022  14:49
113.52,134.31,92.35%,84.66%,16 Nov 2022  13:24
112.65,133.42,90.53%,78.88%,16 Nov 2022  13:24
108.73,125.52,90.51%,81.06%,15 Nov 2022  17:15
107.2,115.2,96.53%,74.83%,14 Nov 2022  17:40
110.33,115.92,97.26%,83.45%,13 Nov 2022  01:39
109.6,109.6,99.28%,84.53%,12 Nov 2022  10:08
103.2,107.2,97.79%,79.28%,12 Nov 2022  10:07
106.33,112.72,93.06%,78.22%,12 Nov 2022  10:07
105.53,107.13,98.53%,78.51%,11 Nov 2022  11:45
111.2,120.0,96.67%,88.45%,11 Nov 2022  11:34
115.12,128.71,92.68%,78.75%,10 Nov 2022  21:55
121.6,121.6,98.06%,82.10%,10 Nov 2022  16:56
110.33,139.11,88.64%,76.00%,10 Nov 2022  16:55
105.6,112.0,94.48%,73.11%,10 Nov 2022  16:55
58.36,74.35,95.51%,69.56%,10 Nov 2022  15:12
127.12,137.51,94.19%,85.11%,09 Nov 2022  16:43
100.73,107.13,91.49%,79.15%,09 Nov 2022  16:16
103.13,124.72,87.50%,81.35%,09 Nov 2022  16:15
99.93,111.93,93.75%,72.36%,08 Nov 2022  16:39
110.33,120.72,94.70%,79.98%,07 Nov 2022  19:50
113.6,129.6,93.83%,90.32%,06 Nov 2022  19:34
116.72,122.32,94.30%,75.03%,06 Nov 2022  18:39
116.0,120.8,94.84%,81.41%,06 Nov 2022  16:56
104.73,116.72,95.24%,83.25%,06 Nov 2022  10:14
113.52,119.92,98.04%,82.03%,05 Nov 2022  21:49
107.13,115.12,96.53%,81.44%,05 Nov 2022  18:36
109.53,112.72,97.90%,85.74%,05 Nov 2022  18:36
112.72,120.72,92.95%,75.22%,04 Nov 2022  08:41
105.53,125.52,92.45%,80.27%,02 Nov 2022  20:42
107.13,116.72,94.00%,71.25%,02 Nov 2022  20:41
108.73,119.92,93.42%,80.64%,02 Nov 2022  19:55
116.0,128.8,96.30%,80.52%,02 Nov 2022  19:55
102.26,115.85,94.48%,81.62%,02 Nov 2022  19:45
108.73,119.92,93.51%,71.67%,02 Nov 2022  19:44
115.92,135.91,92.94%,89.00%,02 Nov 2022  19:44
117.6,120.8,97.40%,78.23%,02 Nov 2022  18:15
100.73,110.33,94.29%,80.18%,02 Nov 2022  18:15
117.52,129.51,96.30%,84.43%,02 Nov 2022  18:14
120.72,129.51,96.32%,81.33%,01 Nov 2022  20:03
113.52,132.71,92.77%,86.21%,31 Oct 2022  18:54
123.04,123.04,99.35%,87.42%,31 Oct 2022  18:29
111.85,124.63,93.63%,72.34%,31 Oct 2022  16:20
105.6,109.6,95.10%,59.33%,31 Oct 2022  14:47
109.6,124.0,91.25%,75.39%,31 Oct 2022  14:46
120.64,130.23,94.01%,71.81%,31 Oct 2022  14:06
131.11,136.71,98.25%,81.94%,31 Oct 2022  09:51
125.6,128.8,99.38%,87.06%,30 Oct 2022  20:59
113.52,127.12,91.82%,88.17%,30 Oct 2022  11:51
109.6,126.4,89.44%,72.48%,30 Oct 2022  11:42
111.13,120.72,95.39%,83.94%,29 Oct 2022  23:06
111.93,117.52,97.96%,78.21%,29 Oct 2022  22:53
110.4,110.4,97.87%,77.42%,29 Oct 2022  11:15
120.72,124.72,95.63%,77.12%,28 Oct 2022  22:57
123.92,133.51,97.01%,86.14%,28 Oct 2022  16:39
106.99,128.54,90.24%,84.17%,27 Oct 2022  22:18
138.4,146.4,97.27%,86.22%,27 Oct 2022  21:41
104.0,118.4,93.33%,75.78%,26 Oct 2022  22:15
102.33,138.31,88.44%,84.21%,26 Oct 2022  22:15
118.96,124.55,95.03%,70.45%,26 Oct 2022  21:34
115.92,119.12,97.99%,83.78%,26 Oct 2022  19:49
116.72,133.51,90.53%,81.82%,26 Oct 2022  19:48
122.4,128.0,97.52%,82.50%,26 Oct 2022  19:47
115.2,120.0,97.35%,84.41%,26 Oct 2022  19:46
114.4,128.0,94.38%,78.44%,26 Oct 2022  18:06
106.33,111.93,93.75%,79.24%,26 Oct 2022  17:15
109.53,115.92,96.55%,78.08%,25 Oct 2022  21:39
114.4,124.8,94.97%,78.54%,25 Oct 2022  21:21
123.2,130.4,95.78%,80.08%,25 Oct 2022  21:20
117.6,120.8,96.10%,81.70%,25 Oct 2022  21:19
126.32,130.31,95.81%,85.02%,25 Oct 2022  21:19
103.2,113.6,95.14%,76.62%,25 Oct 2022  20:38
104.8,112.0,95.07%,81.56%,25 Oct 2022  20:34
115.2,127.2,94.41%,80.92%,25 Oct 2022  20:33
118.4,124.0,98.06%,81.75%,25 Oct 2022  17:38
92.74,114.32,93.15%,78.62%,25 Oct 2022  17:11
115.12,125.52,93.83%,76.53%,25 Oct 2022  16:50
104.8,112.8,93.10%,76.51%,25 Oct 2022  08:58
112.72,129.51,91.52%,75.38%,24 Oct 2022  22:23
128.8,137.6,95.45%,84.61%,23 Oct 2022  19:16
119.12,143.9,89.50%,74.78%,23 Oct 2022  19:16
112.65,116.64,95.97%,79.05%,23 Oct 2022  16:25
118.4,128.8,97.52%,76.56%,23 Oct 2022  16:22
95.94,112.72,94.48%,74.47%,23 Oct 2022  16:22
105.53,127.91,87.50%,89.36%,23 Oct 2022  16:12
135.91,144.7,95.68%,82.32%,23 Oct 2022  16:09
115.92,132.71,93.53%,75.96%,23 Oct 2022  11:09
117.6,128.0,96.27%,83.52%,21 Oct 2022  22:41
127.91,131.11,98.78%,88.69%,21 Oct 2022  22:41
116.72,121.52,96.75%,83.14%,21 Oct 2022  22:40
104.73,113.52,94.52%,74.98%,21 Oct 2022  17:34
122.32,139.91,93.14%,89.78%,20 Oct 2022  22:33
119.12,142.31,93.30%,82.30%,19 Oct 2022  17:55
119.92,130.31,96.93%,87.49%,19 Oct 2022  15:42
116.72,134.31,92.90%,84.30%,18 Oct 2022  19:15
111.05,123.04,95.51%,83.99%,18 Oct 2022  18:03
119.92,123.92,98.10%,80.13%,17 Oct 2022  20:19
125.6,130.4,96.39%,80.35%,17 Oct 2022  17:16
114.32,143.1,90.50%,87.58%,17 Oct 2022  16:54
108.0,122.4,91.67%,76.50%,16 Oct 2022  13:48
110.33,129.51,89.63%,79.83%,15 Oct 2022  20:00
122.4,122.4,98.71%,82.81%,15 Oct 2022  18:18
111.05,141.41,88.70%,84.47%,15 Oct 2022  18:17
120.0,124.0,94.34%,81.84%,15 Oct 2022  18:16
121.52,132.71,95.78%,81.79%,12 Oct 2022  22:22
126.4,134.4,96.43%,86.88%,12 Oct 2022  21:28
127.12,138.31,93.75%,79.96%,12 Oct 2022  21:24
114.32,117.52,97.97%,61.58%,12 Oct 2022  21:22
112.8,121.6,96.71%,80.98%,12 Oct 2022  17:15
109.6,114.4,95.89%,79.98%,11 Oct 2022  20:06
119.92,131.11,95.15%,82.75%,11 Oct 2022  20:02
123.2,127.2,98.11%,85.88%,11 Oct 2022  19:59
92.0,104.8,89.63%,75.32%,11 Oct 2022  19:59
135.2,140.0,97.18%,82.17%,11 Oct 2022  19:55
97.6,104.8,95.56%,75.66%,11 Oct 2022  19:29
100.0,115.2,93.15%,79.64%,11 Oct 2022  19:28
108.73,118.32,94.00%,80.00%,10 Oct 2022  20:03
116.0,136.8,93.57%,83.42%,10 Oct 2022  20:01
104.0,118.4,91.45%,76.96%,10 Oct 2022  17:25
108.8,125.6,93.04%,79.53%,10 Oct 2022  13:41
121.52,129.51,96.34%,86.87%,10 Oct 2022  13:05
109.6,128.0,93.79%,79.18%,10 Oct 2022  12:09
124.0,131.2,97.56%,85.26%,10 Oct 2022  11:48
115.92,122.32,97.42%,75.10%,09 Oct 2022  21:17
120.0,124.0,98.08%,78.41%,09 Oct 2022  21:16
109.53,126.32,93.17%,80.03%,09 Oct 2022  21:15
122.32,143.1,92.31%,78.54%,09 Oct 2022  21:15
108.0,120.0,96.03%,81.70%,09 Oct 2022  21:12
108.0,120.0,91.56%,80.69%,09 Oct 2022  21:11
111.13,117.52,93.33%,81.38%,09 Oct 2022  21:09
96.74,115.92,88.67%,78.71%,09 Oct 2022  21:09
116.72,116.72,98.65%,78.78%,08 Oct 2022  19:57
104.8,104.8,98.54%,75.73%,08 Oct 2022  19:56
113.6,119.2,95.97%,81.82%,08 Oct 2022  19:55
110.4,120.8,96.08%,74.39%,08 Oct 2022  19:54
120.8,129.6,98.15%,88.69%,08 Oct 2022  19:53
111.13,115.12,97.24%,81.24%,08 Oct 2022  16:51
119.2,123.2,94.90%,88.50%,08 Oct 2022  16:50
116.72,116.72,98.65%,78.46%,08 Oct 2022  16:50
101.6,117.6,93.88%,81.67%,08 Oct 2022  16:48
109.6,126.4,93.13%,77.12%,08 Oct 2022  16:48
115.12,126.32,94.94%,88.06%,08 Oct 2022  16:47
133.42,137.42,98.26%,86.17%,08 Oct 2022  16:46
112.0,112.0,99.29%,80.66%,08 Oct 2022  15:38
108.8,121.6,92.21%,81.36%,08 Oct 2022  14:28
128.0,136.8,96.49%,82.81%,08 Oct 2022  14:27
110.33,116.72,94.70%,72.50%,07 Oct 2022  21:16
114.32,122.32,95.45%,82.41%,07 Oct 2022  18:40
121.6,128.0,95.68%,81.11%,07 Oct 2022  18:38
111.05,132.62,88.89%,70.51%,07 Oct 2022  18:38
112.0,116.0,98.62%,82.83%,07 Oct 2022  16:55
110.4,114.4,97.24%,72.59%,07 Oct 2022  16:54
113.6,121.6,92.95%,78.13%,07 Oct 2022  16:54
116.8,116.8,97.99%,71.18%,06 Oct 2022  21:39
120.0,123.2,98.06%,44.71%,06 Oct 2022  15:38
92.0,112.8,93.01%,67.99%,06 Oct 2022  15:37
119.2,130.4,95.71%,91.19%,06 Oct 2022  10:37
103.2,107.2,97.10%,69.21%,06 Oct 2022  10:33
117.44,121.44,98.68%,82.77%,05 Oct 2022  19:03
128.71,128.71,100.00%,89.53%,05 Oct 2022  19:00
111.93,123.12,95.48%,84.33%,05 Oct 2022  19:00
126.4,130.4,99.39%,89.45%,05 Oct 2022  18:56
108.73,119.12,96.71%,82.40%,05 Oct 2022  18:55
119.2,119.2,98.68%,80.31%,05 Oct 2022  18:55
94.34,94.34,100.00%,72.20%,05 Oct 2022  18:55
111.13,111.13,97.22%,81.06%,05 Oct 2022  18:53
121.6,121.6,99.35%,72.00%,05 Oct 2022  18:52
125.6,125.6,98.13%,81.35%,05 Oct 2022  18:52
108.73,118.32,94.74%,80.98%,05 Oct 2022  16:04
117.6,117.6,99.32%,85.26%,05 Oct 2022  09:53
107.93,127.91,91.41%,81.95%,04 Oct 2022  22:40
106.4,111.2,95.77%,81.16%,04 Oct 2022  22:39
96.74,108.73,94.16%,80.06%,04 Oct 2022  22:39
120.0,120.0,99.34%,84.00%,04 Oct 2022  22:38
112.0,122.4,94.90%,75.61%,04 Oct 2022  22:33
108.0,119.2,94.08%,78.42%,04 Oct 2022  22:33
108.0,120.8,93.42%,82.03%,04 Oct 2022  22:32
92.8,120.0,88.16%,76.41%,04 Oct 2022  22:32
130.4,136.0,98.82%,82.16%,04 Oct 2022  22:31
126.32,134.31,97.04%,84.30%,04 Oct 2022  22:30
97.6,113.6,93.71%,78.38%,04 Oct 2022  19:45
112.0,112.0,99.30%,75.82%,04 Oct 2022  19:45
105.6,105.6,97.08%,61.70%,02 Oct 2022  19:35
115.12,126.32,94.97%,81.20%,02 Oct 2022  19:34
110.33,123.92,96.77%,85.15%,01 Oct 2022  20:24
90.4,110.4,88.89%,69.15%,01 Oct 2022  20:16
119.92,127.91,95.00%,85.61%,01 Oct 2022  20:16
119.2,119.2,99.33%,76.06%,01 Oct 2022  20:15
107.2,109.6,95.07%,79.64%,01 Oct 2022  19:14
91.14,105.53,91.30%,67.23%,01 Oct 2022  19:14
84.8,101.6,94.62%,50.49%,01 Oct 2022  16:56
104.0,114.4,94.52%,77.98%,01 Oct 2022  16:13
93.6,122.4,85.81%,81.41%,01 Oct 2022  15:54
106.4,106.4,97.79%,75.68%,01 Oct 2022  15:52
107.2,120.0,90.26%,64.72%,01 Oct 2022  15:51
123.92,131.91,95.21%,75.05%,01 Oct 2022  15:51
111.2,116.8,92.21%,68.30%,01 Oct 2022  15:40
108.8,111.2,96.45%,76.12%,30 Sep 2022  16:09
107.93,117.52,96.62%,79.11%,30 Sep 2022  16:08
109.6,113.6,95.89%,77.66%,30 Sep 2022  16:08
108.8,125.6,89.94%,75.94%,30 Sep 2022  16:07
98.33,131.91,89.16%,79.80%,29 Sep 2022  14:31
91.14,143.9,81.42%,74.57%,29 Sep 2022  14:30
107.2,125.6,90.63%,72.90%,29 Sep 2022  10:48
105.53,119.92,91.50%,76.47%,29 Sep 2022  10:47
98.33,119.12,89.61%,78.23%,29 Sep 2022  10:46
112.72,127.91,95.03%,80.62%,29 Sep 2022  10:45
121.52,131.11,93.49%,74.39%,29 Sep 2022  10:43
119.12,130.31,94.48%,83.58%,25 Sep 2022  13:44
111.93,121.52,93.51%,82.05%,24 Sep 2022  16:34
106.33,119.92,93.46%,80.33%,24 Sep 2022  12:38
99.93,99.93,95.45%,71.80%,23 Sep 2022  19:28
104.8,114.4,95.14%,81.06%,22 Sep 2022  18:28
126.4,126.4,98.75%,74.92%,22 Sep 2022  18:27
103.2,116.8,92.62%,77.80%,21 Sep 2022  16:24
116.0,116.0,99.32%,83.88%,17 Sep 2022  18:10
109.6,114.4,95.24%,56.56%,17 Sep 2022  18:10
109.6,127.2,91.82%,80.88%,17 Sep 2022  18:10
99.93,107.13,94.96%,72.29%,10 Sep 2022  22:32
104.73,109.53,96.45%,78.09%,10 Sep 2022  16:28
108.8,137.6,90.80%,83.70%,07 Sep 2022  17:42
98.33,112.72,92.47%,74.43%,04 Sep 2022  19:58
112.8,123.2,96.13%,81.75%,03 Sep 2022  17:44
113.6,117.6,96.64%,86.02%,03 Sep 2022  17:22
116.8,123.2,98.70%,74.24%,03 Sep 2022  17:19
116.0,123.2,97.40%,79.42%,27 Aug 2022  18:53
109.6,124.8,93.04%,77.84%,27 Aug 2022  18:52
103.93,108.73,95.00%,81.37%,27 Aug 2022  13:49
